random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
2223,y,18.36711,m,6.00923,,0,,0,0,0,98,1,cmp_building_035_dog_003,S8_building_035_dog_003.jpg,1,dog587.png,dog587.png,dog455.png,dog499.png,dog557.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,
,,,,,m,0,,0,1,1,92,1,cmp_building_024_person_010,S4_building_024_person_010.jpg,0,blank.png,blank.png,person1015.png,person1089.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,v,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,3.18776
,,,,,v,0,,0,2,2,81,1,cmp_shelves_053_toys_012,S4_shelves_053_toys_012.jpg,1,motorcycle509.png,motorcycle509.png,airplane136.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,m,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,3.0048
,,,,,v,1,,0,3,3,108,1,cmp_africansavanna_002_wildanimals_002,S8_africansavanna_002_wildanimals_002.jpg,0,blank.png,blank.png,elephant231.png,elephant458.png,giraffe141.png,giraffe352.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,v,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,3.78674
,,,,,v,1,,0,4,4,15,1,cmp_mountain_019_sheep_007,S1_mountain_019_sheep_007.jpg,0,blank.png,blank.png,sheep46.png,sheep53.png,sheep128.png,sheep20.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.085715
,,,,,m,1,,0,5,5,6,1,cmp_building_043_dog_011,S1_building_043_dog_011.jpg,1,dog1389.png,dog1389.png,dog1385.png,dog1267.png,dog1402.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,m,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.37436
,,,,,v,1,,0,6,6,79,1,cmp_shelves_048_toys_007,S4_shelves_048_toys_007.jpg,0,blank.png,blank.png,airplane180.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.419935
,,,,,v,1,,0,7,7,37,1,cmp_shelves_037_book_010,S4_shelves_037_book_010.jpg,0,blank.png,blank.png,book817.png,book1001.png,book344.png,book319.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.459055
,,,,,m,0,,0,8,8,55,1,cmp_shelves_050_toys_009,S4_shelves_050_toys_009.jpg,0,blank.png,blank.png,airplane359.png,bus23.png,bus17.png,airplane364.png,airplane413.png,motorcycle306.png,airplane379.png,motorcycle660.png,0,4,8,8,7,v,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.470885
,,,,,m,1,,0,9,9,59,1,cmp_field_004_farmanimals_004,S4_field_004_farmanimals_004.jpg,1,horse205.png,horse205.png,horse7.png,sheep103.png,sheep106.png,cow69.png,cow232.png,cow15.png,sheep3.png,blank.png,1,4,8,8,7,m,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.679235
,,,,,v,1,,0,10,10,109,1,cmp_building_023_cat_010,S8_building_023_cat_010.jpg,0,blank.png,blank.png,cat1497.png,cat1551.png,cat1592.png,cat1671.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,v,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,4.11652
,,,,,m,1,,0,11,11,19,1,cmp_building_004_sheep_001,S2_building_004_sheep_001.jpg,1,stm_building_004_sheep_001_009.png,stm_building_004_sheep_001_009.png,stm_building_004_sheep_001_014.png,stm_building_004_sheep_001_015.png,stm_building_004_sheep_001_010.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,m,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.10123
,,,,,v,1,,0,12,12,73,1,cmp_jungle_009_bird_009,S4_jungle_009_bird_009.jpg,0,blank.png,blank.png,bird435.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,v,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.623425
,,,,,v,1,,0,13,13,9,1,cmp_building_026_person_012,S1_building_026_person_012.jpg,0,blank.png,blank.png,person150.png,person390.png,person137.png,person140.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,v,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,4.35264
,,,,,v,1,,0,14,14,49,1,cmp_mountain_021_sheep_009,S4_mountain_021_sheep_009.jpg,0,blank.png,blank.png,sheep760.png,sheep655.png,sheep710.png,sheep654.png,sheep618.png,sheep761.png,sheep719.png,sheep739.png,1,4,8,8,7,v,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,5.21029
,,,,,v,1,,0,15,15,52,1,cmp_building_022_cat_009,S4_building_022_cat_009.jpg,0,blank.png,blank.png,cat1624.png,cat1707.png,cat1761.png,cat1792.png,cat1636.png,cat1650.png,cat1793.png,cat1757.png,0,4,8,8,7,v,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.443575
,,,,,m,1,,0,16,16,5,1,cmp_building_033_cat_012,S1_building_033_cat_012.jpg,1,cat1997.png,cat1997.png,cat1953.png,cat1921.png,cat1927.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,m,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.50638
,,,,,m,1,,0,17,17,62,1,cmp_shelves_047_toys_006,S4_shelves_047_toys_006.jpg,1,bus328.png,bus328.png,bus558.png,car108.png,car112.png,car82.png,motorcycle779.png,airplane17.png,airplane4.png,blank.png,0,4,8,8,7,m,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.63331
,,,,,m,1,,0,18,18,27,1,cmp_shelves_008_fruitvegetal_001,S2_shelves_008_fruitvegetal_001.jpg,1,carrot46.png,carrot46.png,broccoli85.png,apple473.png,orange138.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,m,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.450795
,,,,,m,1,,0,19,19,68,1,cmp_building_010_cat_002,S4_building_010_cat_002.jpg,1,cat105.png,cat105.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.087585
,,,,,v,0,,0,20,20,33,1,cmp_shelves_039_book_012,S4_shelves_039_book_012.jpg,1,book1310.png,book1310.png,book1064.png,book1213.png,book172.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,m,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.3507
,,,,,v,1,,0,21,21,43,1,cmp_mountain_020_sheep_008,S4_mountain_020_sheep_008.jpg,0,blank.png,blank.png,sheep474.png,sheep356.png,sheep455.png,sheep483.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,v,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.25157
,,,,,v,1,,0,22,22,14,1,cmp_shelves_035_book_008,S1_shelves_035_book_008.jpg,0,blank.png,blank.png,book271.png,book113.png,book484.png,book429.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.035265
,,,,,m,0,,0,23,23,105,1,cmp_shelves_021_remote_005,S8_shelves_021_remote_005.jpg,0,blank.png,blank.png,remote353.png,remote357.png,remote358.png,remote373.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,v,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,3.740335
,,,,,v,1,,0,24,24,88,1,cmp_building_014_person_007,S4_building_014_person_007.jpg,0,blank.png,blank.png,person120.png,person198.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,v,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,4.08396
,,,,,m,0,,0,25,25,22,1,cmp_shelves_002_fruits_001,S2_shelves_002_fruits_001.jpg,0,blank.png,blank.png,stm_shelves_001_fruits_001_012.png,stm_shelves_001_fruits_001_010.png,stm_shelves_001_fruits_001_009.png,stm_shelves_001_fruits_001_013.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,v,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,3.56494
,,,,,v,0,,0,26,26,32,1,cmp_shelves_032_book_005,S4_shelves_032_book_005.jpg,1,book466.png,book466.png,book22.png,book23.png,book513.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,m,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.292405
,,,,,m,1,,0,27,27,0,1,cmp_shelves_044_toys_003,S1_shelves_044_toys_003.jpg,1,motorcycle341.png,motorcycle341.png,truck96.png,truck83.png,airplane19.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.495675
,,,,,m,1,,0,28,28,71,1,cmp_building_019_cat_006,S4_building_019_cat_006.jpg,1,cat997.png,cat997.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.59925
,,,,,v,1,,0,29,29,94,1,cmp_mountain_014_bird_002,S4_mountain_014_bird_002.jpg,0,blank.png,blank.png,bird27.png,bird456.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,v,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.75549
,,,,,m,1,,0,30,30,3,1,cmp_building_044_dog_012,S1_building_044_dog_012.jpg,1,dog1544.png,dog1544.png,dog1543.png,dog1592.png,dog1560.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.81042
,,,,,v,0,,0,31,31,85,1,cmp_building_030_person_016,S4_building_030_person_016.jpg,1,person1923.png,person1923.png,person1925.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,m,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,5.38128
,,,,,m,1,,0,32,32,2,1,cmp_building_018_cat_005,S1_building_018_cat_005.jpg,1,cat1440.png,cat1440.png,cat1534.png,cat1396.png,cat1452.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,00000,21,2020-08-21_17h55.49.322,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,4.227475
