random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate
8389,y,6.2841,m,3.8285,m,1,2.8775,,0,0,0,17,1,cmp_jungle_003_bird_003,S2_jungle_003_bird_003.jpg,1,stm_jugle_003_birds_003_001.png,stm_jugle_003_birds_003_001.png,stm_jugle_003_birds_003_009.png,stm_jugle_003_birds_003_011.png,stm_jugle_003_birds_003_013.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,m,0001,27,2023-06-17_17h47.46.411,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,m,1,3.4687,,0,1,1,85,1,cmp_building_030_person_016,S4_building_030_person_016.jpg,1,person1923.png,person1923.png,person1925.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,m,0001,27,2023-06-17_17h47.46.411,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,m,0,2.0035,,0,2,2,43,1,cmp_mountain_020_sheep_008,S4_mountain_020_sheep_008.jpg,0,blank.png,blank.png,sheep474.png,sheep356.png,sheep455.png,sheep483.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,v,0001,27,2023-06-17_17h47.46.411,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,1,2.5517,,0,3,3,79,1,cmp_shelves_048_toys_007,S4_shelves_048_toys_007.jpg,0,blank.png,blank.png,airplane180.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,0001,27,2023-06-17_17h47.46.411,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,m,1,3.7422,,0,4,4,59,1,cmp_field_004_farmanimals_004,S4_field_004_farmanimals_004.jpg,1,horse205.png,horse205.png,horse7.png,sheep103.png,sheep106.png,cow69.png,cow232.png,cow15.png,sheep3.png,blank.png,1,4,8,8,7,m,0001,27,2023-06-17_17h47.46.411,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,m,1,1.268,,0,5,5,61,1,cmp_building_042_dog_010,S4_building_042_dog_010.jpg,1,dog495.png,dog495.png,dog1126.png,dog1176.png,dog508.png,dog518.png,dog780.png,dog872.png,dog948.png,blank.png,0,4,8,8,7,m,0001,27,2023-06-17_17h47.46.411,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,1,2.9098,,0,6,6,50,1,cmp_shelves_038_book_011,S4_shelves_038_book_011.jpg,0,blank.png,blank.png,book546.png,book620.png,book1262.png,book634.png,book633.png,book1096.png,book1261.png,book1265.png,1,4,8,8,7,v,0001,27,2023-06-17_17h47.46.411,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,m,1,1.648,,0,7,7,5,1,cmp_building_033_cat_012,S1_building_033_cat_012.jpg,1,cat1997.png,cat1997.png,cat1953.png,cat1921.png,cat1927.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,m,0001,27,2023-06-17_17h47.46.411,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,1,1.4336,,0,8,8,11,1,cmp_shelves_015_bottle_004,S1_shelves_015_bottle_004.jpg,0,blank.png,blank.png,bottle1332.png,bottle1090.png,bottle1390.png,bottle1498.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,v,0001,27,2023-06-17_17h47.46.411,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,m,1,1.3997,,0,9,9,99,1,cmp_mountain_025_cow_005,S8_mountain_025_cow_005.jpg,1,cow396.png,cow396.png,cow241.png,cow340.png,cow343.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,0001,27,2023-06-17_17h47.46.411,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
